Sno,TECHNOLOGY,ORIGINAL/SYNONYM,QUESTION,SOLUTION
26,PowerBI,Synonym ,Dataflows very very slow Validating Queries,Same as above
27,PowerBI,Synonym ,"Validation of multiple DFs takes 20-30 minutes, but updating takes 4 minutes. Makes no sense to me at all. It would be nice if there was some intelligence behind it.",Same as above
28,PowerBI,Synonym ,Dataflows are extremely sluggish while validating queries.,Same as above
29,PowerBI,Synonym ,"I cannot do anything to my dataflows, either updating, disabling a query or
creating a new dataflow, as it takes forever to validate and then falls over saying an error occurred. On top of that the dataflows aren't even refreshing unless at the crack of dawn!",Same as above
30,PowerBI,Synonym ,"I'm experiencing terrible performance to save changes to a Dataflow. The 
""Validating Queries"" process is taking forever and has already aborted twice.",Same as above
31,PowerBI,Original,Power BI Data Load Hang and Message,"If you are experiencing a data load hang in Power BI, it may be due to a variety of factors such as connectivity issues, large data volumes, or performance problems with the source system.
To diagnose the issue, you can check the following:
1. Check the network connection and ensure that the data source is available and accessible.
2. Check if there are any error messages or warnings in the Power BI error logs.
3. Check if there are any performance issues with the data source or Power BI environment.
4. Try reducing the data volume or optimizing the data source query to improve performance.
If the issue persists, you may need to consult with a Power BI expert or Microsoft Support for further assistance."
32,PowerBI,Synonym ,How do I troubleshoot data load hangs in Power BI? Are there any tools or resources I can use to help identify the root cause of the issue?,Same as above
33,PowerBI,Synonym ,"Are there any common reasons for data load hangs in Power BI, and how 
can I troubleshoot them?",Same as above
34,PowerBI,Synonym ,"What are some possible causes of Power BI data load hangs, and how can 
I resolve them?",Same as above
35,PowerBI,Synonym ,"Can you provide any advice on resolving data load hangs in Power BI, 
particularly when dealing with large data volumes or performance issues?",Same as above
36,PowerBI,Synonym ,"I'm experiencing data load hangs in Power BI - what steps can I take to 
diagnose and resolve the issue?",Same as above
37,PowerBI,Original,"I've noticed that the calendar month and days in the Power BI date slicer 
are being displayed in a language other than English, and it's causing some confusion. How can I adjust the language settings to fix this issue?","If my understanding is correct you are trying to embed the Power Bi in your angular application.
In the embed configuration you can mention, Language and Locale setting.
var embedConfig = {
    ...
    settings: {
        localeSettings: {
            language: ""en"",
            formatLocale: ""en""
        }
    }
};
Or
You could add &language=en and &formatlocale=en parameters to the embed URL
https://powerbiembedurl&language=en&formatlocale=en"
38,PowerBI,Synonym ,"Why Power bi date slicer calendar month/days are showing different language other than English. it’s looks like Spanish language.
",Same as above
39,PowerBI,Synonym ,Is there any way to change the language from Spanish to English language  in Power bi date slicer calendar month/days?,Same as above
40,PowerBI,Synonym ,"I'm having an issue with the language settings in the Power BI date slicer - it's showing calendar month and days in a language other than English. What could be causing this, and how can I change it?",Same as above
41,PowerBI,Synonym ,"Is there a way to ensure that the Power BI date slicer displays calendar 
month and days in English, even if my computer or browser is set to a different language?",Same as above
42,PowerBI,Synonym ,"Why is the Power BI date slicer displaying calendar month and days in a 
different language other than English, such as Spanish, and how can I fix this?",Same as above
43,PowerBI,Original,"Power BI embedded, direct query, not refreshing","If your Power BI embedded report with a direct query data source is not refreshing, there could be several reasons why this is happening. Here are some common issues and their potential solutions:
1. The data source is not set up for automatic refresh: In order for the data to refresh in a direct query scenario, the data source must be set up for automatic refresh. Check the settings in the data source and ensure that automatic refresh is enabled.
2. The refresh schedule is not set correctly: Even if automatic refresh is enabled, the refresh schedule may not be set correctly. Check the settings in the data source and ensure that the refresh schedule is set to a frequency that meets your needs.
3. The report is not configured for automatic page refresh: If the report is not configured for automatic page refresh, you may need to manually refresh the page to see updated data. Configure the report for automatic page refresh to resolve this issue.
4. There is a caching issue: In some cases, the data may be cached and not refreshing properly. Clear the cache in the browser or the Power BI service to see if this resolves the issue.
5. There is a bug in the Power BI software: If none of the above solutions work, it is possible that there is a bug in the Power BI software. Check for any known issues or bugs with the version of Power BI you are using, and consider contacting Microsoft Support for further assistance.

If the issue persists, you may need to consult with a Power BI expert or Microsoft Support for further assistance."
44,PowerBI,Synonym ,How do I troubleshoot a Power BI embedded report with direct query data source that is not refreshing?,Same as above
45,PowerBI,Synonym ,"I have a Power BI embedded report that is not updating with new data from 
the direct query data source. What could be causing this issue, and how can I fix it?",Same as above
46,PowerBI,Synonym ,"Why is my Power BI embedded report with direct query data source not 
refreshing automatically, and what steps can I take to resolve this?",Same as above
47,PowerBI,Synonym ,"Is there a way to ensure that my Power BI embedded report with a direct 
query data source refreshes automatically, or do I need to manually refresh the page?",Same as above
48,PowerBI,Synonym ,"How can I resolve a situation where my Power BI embedded report with 
direct query data source is not refreshing properly, even though I've set up automatic refresh and configured the report for automatic page refresh?",Same as above
49,PowerBI,Original,Issue publishing report to Power BI Workspace,"If you're having trouble publishing a Power BI report from the desktop application to your Power BI workspace in Azure, there are several things you can try to troubleshoot the issue:
1. Check your workspace settings: Make sure that your Azure workspace is set up to receive reports published from the desktop application. Check the workspace settings to ensure that the ""Allow external guest users to edit content"" option is turned on.
2. Check the report size: Large reports may take longer to publish or may exceed the size limit for your workspace. Check the size of your report and consider splitting it into smaller sections or reducing the size of visuals to speed up publishing.
3. Try publishing from the web: If publishing from the desktop application continues to fail, try publishing the report from the Power BI web portal instead. This can help you identify whether the issue is specific to the desktop application.
4. Update Power BI desktop
5. Contact Microsoft Support: If none of the above solutions work, you may need to contact Microsoft Support for further assistance."
50,PowerBI,Synonym ,"I created a report using Power BI desktop APP. Publishing the report from
Desktop application doesn't publish report to PowerBI workspace in azure.",Same as above
51,PowerBI,Synonym ,"I'm having an issue with publishing a Power BI report from the desktop 
application to Azure. When I publish the report, it doesn't appear in my Power BI workspace. What could be causing this, and how can I fix it?",Same as above
52,PowerBI,Synonym ,"How do I troubleshoot a situation where I've created a report using Power 
BI desktop app, but when I try to publish it to my Power BI workspace in Azure, it doesn't appear?",Same as above
53,PowerBI,Synonym ,"I'm trying to move a Power BI report from the desktop application to my 
Azure workspace, but it's not working. How can I ensure that the report is successfully published to Azure?",Same as above
54,PowerBI,Synonym ,"What are the common reasons why a Power BI report created in the 
desktop application fails to publish to the Azure workspace, and what are some solutions to these issues?",Same as above
55,PowerBI,Original,"I'm having trouble creating Pivot Columns in Power BI. What could be 
causing the issue, and how can I fix it?","If you're experiencing issues with Pivot Columns in Power BI, there are several things you can try to troubleshoot the issue:
1. Check your data
2. Verify your Power Query settings: Pivot columns can be created using Power Query. Check your Power Query settings to ensure that you are properly defining the columns that you want to pivot.
3. Check for errors: Look for any error messages that may be related to Pivot Columns. If you receive an error message, read it carefully to understand the nature of the issue.
4. Refresh your data
5. Use DAX: Pivot Columns can also be created using DAX. If you're having issues with Power Query, try creating your Pivot Columns using DAX instead.
6. Update Power BI Desktop
7. Contact Microsoft Support"
56,PowerBI,Synonym ,What should I do if my Pivot Columns in Power BI are not working properly?,Same as above
57,PowerBI,Synonym ,How can I troubleshoot issues with Pivot Columns in Power BI?,Same as above
58,PowerBI,Synonym ,"What are the best practices for creating Pivot Columns in Power BI to avoid 
common errors or issues?",Same as above
59,PowerBI,Synonym ,"How do I resolve issues with Power Query when creating Pivot Columns in 
Power BI?",Same as above
60,PowerBI,Synonym ,"Are there any known bugs or limitations with Pivot Columns in Power BI that 
I should be aware of?",Same as above
61,PowerBI,Original,What resources are available to me if I am unable to resolve a SSL peer certificate or SSH remote key error when using an ODBC driver to connect to Snowflake from Power BI desktop?,"Here are some possible solutions to try:
1. Check your SSL/TLS version: Verify that your SSL/TLS version is up-to-date and compatible with your ODBC driver version. You may need to update your SSL/TLS version or your ODBC driver to resolve this issue.
2. Check your certificate: Verify that your SSL certificate is valid and properly configured. You may need to contact your Snowflake administrator to obtain a valid SSL certificate or update your current certificate.
3. Verify your connection string: Check your ODBC connection string to ensure that it is correctly configured. Make sure that your Snowflake account and credentials are correctly specified.
4. Check your network configuration: Verify that your network configuration is properly set up and that there are no issues with your firewall or network security settings.
5. Verify your driver version: Ensure that you are using the latest version of your ODBC driver. You may need to upgrade your driver to resolve this issue.
6. Check your Power BI version: Verify that you are using the latest version of Power BI desktop. You may need to upgrade to the latest version to resolve this issue.
7. Contact Snowflake support"
62,PowerBI,Synonym ,What steps can I take to troubleshoot a SSL peer certificate or SSH remote key error when connecting to Snowflake with an ODBC driver in Power BI desktop?,Same as above
63,PowerBI,Synonym ,"I am using Power BI native connector for Snowflake. The snowflake account
is a trial account . I am getting this CURL error . Has anybody been able to resolve the issue?",Same as above
64,PowerBI,Synonym ,"How can I resolve a CURLerror 'SSL peer certificate or SSH remote key 
was not OK' error when using an ODBC driver connection to Snowflake from PowerBI desktop?",Same as above
65,PowerBI,Synonym ,"What are the possible causes of a SSL peer certificate or SSH remote key 
error when using an ODBC driver to connect to Snowflake from Power BI desktop, and how can I fix it?",Same as above
66,PowerBI,Synonym ,"Why am I receiving a CURLerror 'SSL peer certificate or SSH remote key 
was not OK' error when attempting to use an ODBC driver to connect to Snowflake from Power BI desktop?",Same as above
67,PowerBI,Original,Rest API credentials issues in power bi service,"To resolve Rest API credentials issues in Power BI service, try the following solutions:
1. Verify API key: Double-check the API key to ensure it is correct and valid.
2. Check access rights: Verify that you have the necessary access rights to use the Rest API.
3. Obtain a new authorization token: If the authorization token has expired or become invalid, obtain a new token to authenticate the Rest API request.
4. Check firewall or network settings: Ensure that the necessary ports are open and that any necessary security settings are properly configured to allow access to the Rest API.
If you are still experiencing issues after trying these solutions, consider contacting the Rest API provider's support team or seeking further assistance from your organization's IT department."
68,PowerBI,Synonym ,What are some common causes of Rest API credential issues in Power BI service and how can they be resolved?,Same as above
69,PowerBI,Synonym ,How can I troubleshoot Rest API credential issues in Power BI service?,Same as above
70,PowerBI,Synonym ,What are some potential solutions for resolving Rest API credential issues in Power BI service?,Same as above
71,PowerBI,Synonym ,How can I fix Rest API credential errors in Power BI service?,Same as above
72,PowerBI,Synonym ,"What steps can I take to ensure that my Rest API credentials are working 
properly in Power BI service?",Same as above
73,PowerBI,Original,"How do I check for network connectivity issues when connecting Power BI 
to Azure SQL DB?","The Power BI - Azure SQL DB connection issue can occur due to various reasons. Here are some possible solutions:
1. Check Azure SQL DB firewall settings: Ensure that the IP address of your Power BI service is added to the firewall settings of your Azure SQL DB.
2. Check Azure SQL DB connection string: Verify that the connection string used in Power BI is correct and up-to-date. Make sure it includes the correct server name, database name, and authentication credentials.
3. Check authentication method: Ensure that the authentication method used in Power BI matches the one set up for your Azure SQL DB. You can use either SQL Server Authentication or Azure Active Directory Authentication.
4. Check Azure Active Directory permissions: If you are using Azure Active Directory Authentication, ensure that the user or service principal has sufficient permissions to access the Azure SQL DB.
5. Check Power BI gateway: If you are using a Power BI gateway to connect to Azure SQL DB, ensure that the gateway is set up correctly and is running.
6. Check network connectivity: Verify that there are no network connectivity issues between Power BI and Azure SQL DB. You can use tools such as Telnet to test the connectivity.
7. Check Azure SQL DB service status: If none of the above solutions work, check the status of the Azure SQL DB service to see if there are any known issues."
74,PowerBI,Synonym ,Are there any best practices to follow when connecting Power BI to Azure SQL DB to avoid connection issues?,Same as above
75,PowerBI,Synonym ,"What are some possible solutions for resolving a Power BI - Azure SQL DB 
connection issue?",Same as above
76,PowerBI,Synonym ,"How can I ensure that my Power BI and Azure SQL DB are properly 
connected?",Same as above
77,PowerBI,Synonym ,"What are some common causes of Power BI - Azure SQL DB connection 
issues, and how can they be resolved?",Same as above
78,PowerBI,Synonym ,"How do I troubleshoot a connection issue between Power BI and Azure 
SQL DB?",Same as above
79,PowerBI,Original,"How can I fix a language issue in Power BI Report Server when the report is 
not displaying in the desired language?","You can try the following solutions:
1. Ensure that the desired language is set as the default language: Check that the desired language is set as the default language in the Report Server settings.
2. Verify that the report has been created in the desired language: Ensure that the report has been created in the language that you want to view it in. If the report has been created in a different language, it may not display correctly.
3. Check the language settings in the report: Verify that the language settings in the report are correct and match the desired language. This can be done by going to the ""Report Language Settings"" option in the ""File"" menu of the Power BI Desktop application.
4. Ensure that the language pack is installed: Make sure that the language pack for the desired language is installed on the Report Server.
5. Check the user's language preferences: If the report is still not displaying in the desired language, check that the user's language preferences are set to the desired language.
6. Check the browser language settings: Verify that the browser language settings are set to the desired language. This can be done in the browser settings.
7. Try clearing the browser cache"
80,PowerBI,Synonym ,"What are the possible causes of a language issue in Power BI Report Server, and how can I troubleshoot and fix them?",Same as above
81,PowerBI,Synonym ,"Are there any best practices for resolving language issues in Power BI 
Report Server?",Same as above
82,PowerBI,Synonym ,"How do I ensure that the language pack for the desired language is properly 
installed on the Report Server?",Same as above
83,PowerBI,Synonym ,"Are there any known issues or bugs related to language settings in Power BI
Report Server, and if so, how can I work around them?",Same as above
84,PowerBI,Synonym ,What steps can I take to check the user's language preferences in Power BI Report Server and ensure they are set to the desired language?,Same as above
85,PowerBI,Original,How to resolve the Power BI API token issue in the Azure ADFS Setup?,"The reason this is not working is by default Azure AD will block ROPC flow for a Federated account. This flow only works if you are using a cloud account (onmicrosoft.com domain) for security reasons. If you need to authenticate with a Federated account, it's better if you use the ADAL library. We have an ADAL Java library here.
https://github.com/AzureAD/azure-activedirectory-library-for-java/wiki/Acquiring-Tokens-with-username-and-password

Also, please note that:-
Microsoft recommends you do not use the ROPC flow. In most scenarios, more secure alternatives are available and recommended. This flow requires a very high degree of trust in the application, and carries risks which are not present in other flows. You should only use this flow when other more secure flows can't be used.

Reference:
https://github.com/MicrosoftDocs/azure-docs/issues/34108"
86,PowerBI,Synonym ,"What steps can I take to resolve the Power BI API token issue in the 
Azure ADFS setup?",Same as above
87,PowerBI,Synonym ,"How can I troubleshoot the Power BI API token issue when using Azure 
ADFS?",Same as above
88,PowerBI,Synonym ,"What are the common causes of Power BI API token issue in the Azure 
ADFS setup, and how can they be resolved?",Same as above
89,PowerBI,Synonym ,How do I ensure that the Power BI API token is properly generated and has the necessary permissions in Azure ADFS?,Same as above
90,PowerBI,Synonym ,"What are some potential network connectivity issues that can cause Power BI API token issues in the Azure ADFS setup, and how can they be resolved?",Same as above
91,Azure Analysis Services,Original,Issues when importing Power BI modell to Azure Analysis Service,"Try the following solutions:
1. Check for compatibility: Ensure that the version of the Power BI desktop application you used to create the model is compatible with Azure Analysis Services. You may need to upgrade your version of Power BI desktop or Azure Analysis Services to ensure compatibility.
2. Verify data source credentials
3. Check for missing dependencies
4. Reduce model size: If you are experiencing issues with importing a large model, consider reducing the size of the model by removing any unnecessary tables or columns. This can help to reduce the amount of data that needs to be imported, which can improve performance and reduce the likelihood of errors.
5. Check the compatibility level of the model: Ensure that the compatibility level of the model is set correctly. The compatibility level should match the version of Analysis Services that you are using.
6. Check for any customizations: Verify that there are no customizations or extensions in the Power BI model that are not supported in Azure Analysis Services. You may need to remove any unsupported customizations before importing the model.
7. Test the model before importing"
92,Azure Analysis Services,Synonym ,What are some potential solutions to address issues that may arise when importing a Power BI model to Azure Analysis Services?,Same as above
93,Azure Analysis Services,Synonym ,"How can I troubleshoot issues that occur when importing a Power BI model to 
Azure Analysis Services?",Same as above
94,Azure Analysis Services,Synonym ,"Are there any common issues that I should be aware of when importing a 
Power BI model to Azure Analysis Services, and how can I address them?",Same as above
95,Azure Analysis Services,Synonym ,"What steps can I take to ensure a successful import of my Power BI model 
Into Azure Analysis Services?",Same as above
96,Azure Analysis Services,Synonym ,How can I optimize the performance of my Power BI model when importing it  to Azure Analysis Services?,Same as above
97,Azure Analysis Services,Original,Can you suggest any solutions for security issues in Azure Analysis Services?,"Here are some best practices that you can follow to address security issues in Azure Analysis Services:
1. Implement Role-Based Access Control (RBAC): Use Azure Active Directory (Azure AD) to manage access to Azure Analysis Services by creating groups, roles, and users, and assigning permissions to specific objects.
2. Secure communication: Make sure that SSL/TLS is enabled to encrypt communications between client and server, and use Azure Private Link or Azure Virtual Network to restrict access to the Azure Analysis Services instance.
3. Monitor activity: Enable auditing and monitoring to detect suspicious activity and ensure compliance with regulatory requirements.
4. Implement row-level security: Use row-level security (RLS) to restrict access to specific rows of data based on the user's role.
5. Use Azure Key Vault: Store and manage encryption keys and secrets in Azure Key Vault to ensure that they are secure and not accessible to unauthorized users."
98,Azure Analysis Services,Synonym ,How to address security issues in Azure Analysis Services?,Same as above
99,Azure Analysis Services,Synonym ,What are the best practices for securing Azure Analysis Services?,Same as above
100,Azure Analysis Services,Synonym ,Are there any tools or techniques to improve the security of Azure Analysis Services?,Same as above
101,Azure Analysis Services,Synonym ,Can you provide any guidance on securing Azure Analysis Services?,Same as above
102,Azure Analysis Services,Synonym ,How can I address security issues in Azure Analysis Services?,Same as above
103,Azure Analysis Services,Original,I am experiencing issues when connecting Azure Analysis Services to my storage account. What steps should I take to resolve this issue?,"Here are some possible solutions:
1. Ensure that the storage account is in the same region as your Azure Analysis Services instance. If they are in different regions, you may experience latency issues or connection errors.
2. Make sure that the firewall settings of your storage account are properly configured to allow access from your Azure Analysis Services instance. You can do this by adding the IP address of the Analysis Services instance to the allowed IP address list in the firewall settings.
3. Check that the connection string is correct and properly formatted. The connection string should include the name of the storage account, the access key, and the container name.
4. Make sure that the storage account is properly configured to allow access using the access key. You can check this by ensuring that the access key is valid and has not expired.
5. Check that the credentials used to connect to the storage account have the necessary permissions to access the container. You can do this by checking the access policies in the container settings.
6. If you are using a virtual network (VNet) with your Azure Analysis Services instance, make sure that the VNet and the storage account are peered or connected via a VPN gateway.
7. Try restarting both the Azure Analysis Services instance and the storage account to see if that resolves the connection issue."
104,Azure Analysis Services,Synonym ,Azure Analysis services connection to storage account not working,Same as above
105,Azure Analysis Services,Synonym ,"How do I troubleshoot connectivity issues between Azure Analysis Services 
and my storage account?",Same as above
106,Azure Analysis Services,Synonym ,"What are the common reasons why Azure Analysis Services cannot connect to 
a storage account, and how can I fix them?",Same as above
107,Azure Analysis Services,Synonym ,"How can I ensure that Azure Analysis Services can access my storage 
account, and what should I do if there is a connection issue?",Same as above
108,Azure Analysis Services,Synonym ,"What are the best practices for configuring Azure Analysis Services to connect 
to a storage account, and how can I troubleshoot issues with the connection?",Same as above
109,Azure Analysis Services,Original,"Looking for a performance monitoring tool for Azure Analysis Services, any recommendations?","You can use Metrics from portal that will give you detailed information. here is additional
information on how to do - - - - > https://docs.microsoft.com/en-us/azure/analysis-services/analysis-services-monitor"
110,Azure Analysis Services,Synonym ,Azure Analysis Services - Performance trace / issue,Same as above
111,Azure Analysis Services,Synonym ,Is there a tool to monitor performance in Azure Analysis Services?,Same as above
112,Azure Analysis Services,Synonym ,What tool can I use to monitor Azure Analysis Services performance?,Same as above
113,Azure Analysis Services,Synonym ,"Need help monitoring performance in Azure Analysis Services, any 
suggestions?",Same as above
114,Azure Analysis Services,Synonym ,Suggestions for monitoring performance in Azure Analysis Services?,Same as above
115,Azure Analysis Services,Original,"I was wondering, I have two cubes on my Azure Analysis Services with an estimated size of 4.8gb and 500mb (estimated in SSMS). So approximately 5.3gb on my server. But when I go to the metrics in Azure Analysis Services, and click on Memory, I see 9.8gb used. There is so a real gap between those two values.

Any idea how the ""missing"" 4.5gb are used ?","Do you see this change while refreshing data on cubes?
If yes, then it is usual behaviour of Azure Analysis services where while refreshing the cubes, 2.5 times is the total memory in use approximately until the complete cube is refreshed.

The reason we got from experts is old data is still present in memory until the new one is not fully processed and stored."
116,Azure Analysis Services,Synonym ,Memory used in Azure Analysis Services,Same as above
117,Azure Analysis Services,Synonym ,"How is the memory used metric calculated in Azure Analysis Services, and 
why might it be showing a value that's higher than the estimated size of my cubes?",Same as above
118,Azure Analysis Services,Synonym ,"Can you help me understand why the memory used metric in Azure Analysis 
Services is showing a value that's higher than the estimated size of my cubes?",Same as above
119,Azure Analysis Services,Synonym ,"I'm seeing a discrepancy between the estimated size of my cubes and the 
memory used metric in Azure Analysis Services. Can you explain why there's a difference and what could be causing it?",Same as above
120,Azure Analysis Services,Synonym ,"I have two cubes on Azure Analysis Services with an estimated size of 4.8gb 
and 500mb, but the memory used metric is showing 9.8gb. Is there an explanation for this difference?",Same as above
121,Azure Analysis Services,Original,How do I get the size of my tabular model database in Azure Analysis Services?,"You can get the size of an Analysis Services database in Azure Analysis Services for a Tabular model by following these steps:-
1. Go to the Azure portal and open your Analysis Services instance.
2. In the left-hand menu, click on ""Databases"" to see a list of all databases in the instance.
3. Select the database you want to check the size of.
4. In the top menu, click on ""Metrics"".
5. In the ""Metric Namespace"" dropdown, select ""Analysis Services Server"".
6. In the ""Metric"" dropdown, select ""Database Size"".
7. Set the time range for the metric you want to view.
8. The ""Average"" value under ""Metric Value"" will show you the database size in bytes. You can convert this value to a more readable format, such as GB or TB, as needed.
Alternatively, you can also use the XMLA endpoint to run a DISCOVER_XML_METADATA command to retrieve the size information for the database."
122,Azure Analysis Services,Synonym ,"How we get analysis services database size in azure analysis services 
Tabular model",Same as above
123,Azure Analysis Services,Synonym ,"How can I determine the size of my Azure Analysis Services tabular model 
database?",Same as above
124,Azure Analysis Services,Synonym ,"Is there a way to check the database size of my Azure Analysis Services 
tabular model?",Same as above
125,Azure Analysis Services,Synonym ,"What is the process for obtaining the size of an Analysis Services tabular 
model database in Azure?",Same as above
126,Azure Analysis Services,Synonym ,"Can you tell me how to check the database size of a tabular model in Azure 
Analysis Services?",Same as above
127,Azure Analysis Services,Original,"I'm trying to deploy my tabular model to Azure Analysis services using Visual Studio 2019 but it is keep showing me error below:

Cannot deploy metadata. Reason: An error occurred while connecting to the server.

I have installed latest project extension in Visual Studio 19 but no changes. When I am trying to use Visual Studio 2017 deployment works. Can someone please help?","Here are some potential solutions:
1. Make sure that you have the correct server name, user credentials, and database name in your connection string. Check that you can connect to the server using SQL Server Management Studio or another tool.
2. Ensure that your firewall rules are set up correctly to allow traffic to and from the server. You can check the firewall settings in the Azure portal.
3. Check that the Analysis Services service is running and that it is accessible from your machine. You can test this by connecting to the server using SQL Server Management Studio.
4. Try deploying the model from Visual Studio 2019 on a different machine to see if the issue is related to your local environment.
5. Check if there are any restrictions or limitations with the specific version of Visual Studio you are using. You may need to update to a later version or apply a hotfix.
6. Try creating a new project in Visual Studio 2019 and copy over the contents of your existing project. This may help to resolve any configuration issues that are causing the error."
128,Azure Analysis Services,Synonym ,Visual Studio 2019 Azure Analysis Services Tabular model deployment issue,Same as above
